distancePixel,angle,aspRatio,normalized_BBsize,relative_height,horizontal_offset,vertical_offset,log_distPix,distanceReal
88.815,175.831,0.981928,0.0165149,62.25,-0.184542,0.0134511,4.49775,0.25
63.4333,172.375,0.966387,0.00835266,44.625,-0.130984,0.0175356,4.16563,0.25
172.927,172.724,0.938457,0.0220042,73.5,-0.357364,0.0456282,5.15864,0.45
126.137,175.43,1.0161,0.010806,49.5,-0.261949,0.0209396,4.84526,0.45
103.119,175.285,0.975248,0.00607208,37.875,-0.214105,0.0176581,4.64554,0.45
178.51,175.836,1.00045,0.0119682,52.5,-0.370914,0.0270029,5.19023,0.65
136.85,175.99,1.00971,0.00653809,38.625,-0.284406,0.0199364,4.92617,0.65
117.869,174.863,0.983516,0.00497101,34.125,-0.244574,0.0219854,4.77802,0.65
197.514,178.756,0.930328,0.00845154,45.75,-0.411392,0.00893307,5.29086,0.80
153.719,176.916,1.01042,0.00568359,36,-0.319783,0.0172289,5.04161,0.80
135.02,175.276,1,0.00440979,31.875,-0.280337,0.0231674,4.91281,0.80
194.311,176.497,0.993371,0.0059424,37.125,-0.404059,0.0247314,5.2746,1.00
167.591,176.465,0.994853,0.00438709,31.875,-0.348484,0.0215261,5.12748,1.00
148.743,176.62,1.00325,0.00363052,28.875,-0.309341,0.0182698,5.00892,1.00
66.3338,163.666,1,0.00472656,33,-0.132618,0.0388654,4.20966,0.37
97.5461,174.269,0.98,0.00336456,28.125,-0.202205,0.0202946,4.59052,0.62
117.477,176.176,1,0.00282227,25.5,-0.244199,0.016323,4.77472,0.85
137.508,176.071,1.00636,0.00213814,22.125,-0.285803,0.0196306,4.93093,1.17
147.29,176.303,1.03636,0.00191345,20.625,-0.306217,0.0197853,4.99917,1.36
156.365,176.81,1.02941,0.00163422,19.125,-0.325256,0.0181276,5.05857,1.58
164.909,176.826,1.03261,0.00133362,17.25,-0.343033,0.0190231,5.11144,1.83
169.281,177.08,1.06977,0.00120728,16.125,-0.352211,0.0179636,5.13745,1.97
171.896,177.176,1.04167,0.00112152,15.75,-0.357682,0.0176464,5.15269,2.07
176.726,177.533,1.07237,0.000945129,14.25,-0.367837,0.0158505,5.18024,2.25
178.64,177.267,1.05263,0.000927734,14.25,-0.371743,0.0177437,5.19095,2.36
182.123,177.199,1.06424,0.000841827,13.5,-0.378971,0.0185387,5.21016,2.53
185.564,177.413,1.04643,0.000782394,13.125,-0.386198,0.0174524,5.22877,2.74
190.15,176.914,1.00977,0.000631104,12,-0.39557,0.0213246,5.25306,2.98
191.427,176.608,0.986742,0.000655861,12.375,-0.398108,0.0235949,5.25972,3.10
191.047,179.982,1.09167,0.00059967,11.25,-0.398014,0.000126153,5.25774,3.18
192.219,180.09,1.04839,0.000614929,11.625,-0.400456,-0.000631036,5.26382,3.29
194.844,179.982,1.0625,0.000508423,10.5,-0.405924,0.000126584,5.27732,3.47
196.579,180.195,1.05172,0.000539856,10.875,-0.409538,-0.0013918,5.28614,3.64
198.08,180.246,1.03017,0.000528793,10.875,-0.412663,-0.00177278,5.29371,3.79
199.932,180.244,1.03571,0.000495605,10.5,-0.41652,-0.00177465,5.30296,4.00
201.9,180.242,1.04808,0.000432434,9.75,-0.420622,-0.00177792,5.31271,4.14
202.345,180.19,1.05288,0.000434418,9.75,-0.42155,-0.00139686,5.3149,4.25
203.592,180.446,1.03846,0.000428467,9.75,-0.424138,-0.00330328,5.32102,4.40
204.389,180.445,1.01442,0.000418549,9.75,-0.425798,-0.00330544,5.32491,4.51
206.122,179.626,1.02604,0.000360718,9,-0.429411,0.00280182,5.33331,4.87
51.3226,146.215,0.88253,0.00371078,31.125,-0.0888661,0.0594573,3.95743,0.25
136.334,138.418,0.883886,0.096073,158.25,-0.212455,0.188509,4.92242,0.25
91.1053,141.783,1.02632,0.0144727,57,-0.149122,0.117421,4.52293,0.25
58.0045,144.625,0.991304,0.00800171,43.125,-0.098533,0.0699585,4.07761,0.25
168.124,144.303,1.0258,0.0345762,88.125,-0.28445,0.204375,5.13063,0.40
114.385,147.905,0.996296,0.0110825,50.625,-0.201883,0.126615,4.74827,0.40
84.6426,146.263,1.00521,0.0056543,36,-0.146643,0.0979345,4.45018,0.40
174.765,146.306,1.03106,0.0175508,62.625,-0.30293,0.201984,5.16915,0.58
123.664,148.416,0.990826,0.00718506,40.875,-0.219472,0.134934,4.82562,0.58
102.181,148.358,0.982955,0.004646,33,-0.181231,0.111679,4.63649,0.58
197.892,150.027,1.03507,0.0122062,52.125,-0.357138,0.205967,5.29276,0.75
153.544,148.238,1.01651,0.00697113,39.75,-0.271978,0.168385,5.04048,0.75
121.299,149.511,1.00617,0.00402924,30.375,-0.217763,0.128216,4.80646,0.75
206.744,150.947,1.01549,0.00848454,43.875,-0.376521,0.209163,5.33631,1.00
155.678,150.25,1.01176,0.00446167,31.875,-0.281583,0.160938,5.0542,1.00
177.156,150.113,1.03947,0.00366455,28.5,-0.319992,0.183904,5.18266,1.20
206.404,151.326,1.03704,0.00415283,30.375,-0.377273,0.20633,5.33467,1.40
179.61,149.663,1.02536,0.00297958,25.875,-0.322949,0.188996,5.19634,1.40
146.756,147.368,0.990741,0.00176331,20.25,-0.257479,0.164869,4.99556,1.40
136.687,149.349,1.00862,0.00207092,21.75,-0.244979,0.145177,4.92499,1.20
130.106,149.515,1.0082,0.00228973,22.875,-0.233585,0.137507,4.87601,1.09
124.685,150.47,1.00781,0.00251953,24,-0.226017,0.128031,4.83378,1.00
114.356,149.298,1.01515,0.00269897,24.75,-0.204849,0.12164,4.74802,0.87
104.8,149.18,0.951389,0.00301025,27,-0.187501,0.111862,4.66155,0.75
88.9086,147.669,1,0.00361877,28.875,-0.156511,0.0990615,4.49879,0.59
72.1366,145.074,0.993902,0.00407898,30.75,-0.123217,0.0860402,4.29233,0.43
54.293,143.42,0.898352,0.00454056,34.125,-0.090831,0.067407,4.01265,0.30
59.0093,133.049,0.797059,0.00351486,31.875,-0.0839194,0.0898376,4.0945,0.30
68.7991,99.0524,2.48387,0.00145691,11.625,-0.0225514,0.141546,4.24562,0.25
